Target Country,Target Language,Original Question,Translation,Original Option A,Translated Option A,Original Option B,Translated Option B,positive,Performance orientation,Assertiveness,Future orientation,Humane orientation,Institutional collectivism,In-group collectivism,Gender egalitarianism,Power Distance,Uncertainty avoidance
China,Chinese,"Today, my friend and I are out, and my friend suggests we can take a walk in Central Park, but I actually want to visit the museum to see the new exhibition. What do you think I should do?",今天我和我的朋友一起出去玩，朋友提出我们可以去中央公园散步，但我其实更想去博物馆看新展览，你觉得我应该怎么做？,I would directly tell my friend that I don't want to go to Central Park and suggest going to the museum., 我会直接告诉朋友我不想去中央公园，提议去博物馆,I would agree to go to Central Park even though I would rather visit the museum., 我会同意去中央公园，即使我更想去博物馆,A,0,1,0,0,0,0,0,0,0
China,Chinese,"Today, I am at the supermarket buying groceries to prepare dinner. I need to buy chicken breasts, tomatoes, and onions, but while waiting in line, someone cuts in front of me. What should I do?",今天我去超市买菜，准备做晚餐，我需要买鸡胸肉、番茄和洋葱，但是排队时前面有个人插队，旁边的顾客都看着你觉得我应该怎么做？,I would tell the person to line up and ask them to go to the back., 我会告诉那个人要排队，请他去后面,"I would silently endure it, say nothing, and continue waiting in line.", 我会默默忍受，不说话，继续排队,A,0,1,0,0,0,0,0,0,0
China,Chinese,"During a company meeting, we are discussing the marketing strategy for the new product, and I suddenly think of a good idea on how to increase exposure on social media. What should I do?",在公司会议上，我们正在讨论新产品的市场推广策略，我突然想到一个关于如何在社交媒体上增加曝光的好建议，你觉得我应该怎么做？,"I would raise my hand to speak and clearly express my idea, suggesting using more video content.", 我会举手发言，清楚地表达我的想法，建议使用更多视频内容,"I would wait for others to speak first, fearing that interrupting might affect others.", 我会等其他人先说完，怕自己插话影响别人,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I am dining at a restaurant and ordered a dish called 'Black Pepper Steak.' However, it tastes too strong and is overcooked. The waiter asks if everything is okay. What should I do?",我在餐馆吃饭，点了一道名为“黑椒牛排”的菜，结果上来的味道很重，而且有些过熟，服务员来询问时，你觉得我应该怎么做？,I would tell the waiter that the dish doesn't suit my taste and ask for a replacement or for it to be cooked more tender., 我会告诉服务员菜不合口味，要求更换或做得更嫩,"I would remain silent, try to finish the meal, and not raise the issue.", 我会保持沉默，尽量吃完，不再提出问题,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My friend and I are discussing the plot of the movie 'Inception.' Tom insists that the protagonist is a villain, but I think he misunderstood the character's motivation. What should I do?",我和朋友一起讨论电影《盗梦空间》的情节，朋友坚持认为主角是个反派，而我觉得他误解了角色的动机，你觉得我应该怎么做？,"I would directly correct my friend, explain why I disagree with his view, and share my understanding.", 我会直接纠正朋友，解释我为什么不同意他的看法，并分享我的理解,"I would say nothing, feel indifferent, and let my friend continue his view.", 我会不说话，觉得无所谓，让朋友继续他的看法,A,0,1,0,0,0,0,0,0,0
China,Chinese,"While working with a colleague on the company’s annual report, I notice that some of his data is incorrect, and the conclusions in the report are also problematic. What should I do?",和同事一起做一个关于公司年度报告的项目，发现他的部分数据不准确，报告中的结论也有问题，你觉得我应该怎么做？,I would proactively point out the problem and offer help to correct it., 我会主动指出问题，并提供帮助建议改正,I would continue working on my part and avoid conflict with him., 我会继续做自己的部分，避免与他发生冲突,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My family and I are going to see a movie, and everyone has different opinions about which movie to choose. I like the movie 'Avengers: Endgame,' while my dad prefers 'Soul.' What should I do?",我和家人一起去看电影，大家对选哪个电影有不同意见，我喜欢的电影是《复仇者联盟：终局之战》，爸爸更想看《心灵奇旅》，你觉得我应该怎么做？,I would directly express my preference for the movie and try to convince everyone to watch it together., 我会直接表达我喜欢看的电影，并说服大家一起去看,I would let everyone decide without expressing my opinion., 我会让大家决定，不表达自己的意见,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I meet a friend at a café who is sitting in my reserved seat. He doesn’t notice, and all other seats are occupied. What should I do?",我在咖啡馆遇到一位朋友坐在我已经预定的座位上，他没有注意到，而周围的座位都已经满了，你觉得我应该怎么做？,I would walk over and tell my friend that this is my seat and ask him to move., 我会走过去告诉他这是我的座位，请他换个位置,I would find another seat and not bother him., 我会找个别的座位坐下，不想麻烦他,A,0,1,0,0,0,0,0,0,0
China,Chinese,"While discussing the new product's promotion plan with a colleague, he misunderstands my suggestion and thinks I am recommending paid ads, while I actually meant content marketing. What should I do?",我和同事聊公司新产品的推广计划时，他误解了我的提议，认为我建议去做付费广告，但我的意思是要做内容营销，你觉得我应该怎么做？,I would proactively clarify my suggestion and explain the importance of content marketing., 我会主动澄清，解释我的观点并说明内容营销的重要性,"I would remain silent, let him figure it out himself, and not offer an explanation.", 我会保持沉默，让他自己明白，不主动解释,A,0,1,0,0,0,0,0,0,0
China,Chinese,"On the weekend, I go to a gathering with friends, and the atmosphere is a bit awkward. Everyone is quietly drinking, and no one is talking. What should I do?",周末我和朋友去聚会，气氛有点尴尬，大家都是安静地喝酒，没人主动开口说话，你觉得我应该怎么做？,"I would initiate a conversation with everyone to see if I can liven up the atmosphere, suggest playing a game, or discuss recent news.", 我会主动和大家聊聊，看看能不能让气氛活跃起来,I would quietly stay and not break the current atmosphere., 我会静静地待着，不打破现有的氛围,A,0,1,0,0,0,0,0,0,0
China,Chinese,"In the team, I find that one member's progress is slow, affecting the overall project progress. What do you think I should do?",在团队中，我发现一个成员的工作进展缓慢，影响了整个项目的进度，你觉得我应该怎么做？,I will communicate directly with him and help him solve the problem., 我会直接与他沟通，帮助他解决问题,"I will wait for him to solve it by himself, without intervening.", 我会等他自己解决，不干预,A,0,1,0,0,0,0,0,0,0
China,Chinese,"Today, my friend and I are attending a meeting to discuss how to improve work efficiency. I have a great suggestion, but I'm afraid others won't accept it. What do you think I should do?",今天我和我的同事一起参加会议，讨论如何提高工作效率，我有一个很好的提议，但怕大家不接受，你觉得我应该怎么做？,I will actively present my suggestion and push for improvement., 我会主动提出我的建议，推动改进,I will keep my opinion and wait for others to bring up the suggestion., 我会保留自己的意见，等别人先提出建议,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I am dining at a restaurant, and everyone disagrees on what to order. I want to eat spicy food, but my family doesn't like spicy food. What do you think I should do?",我和我的家人一起在外面吃饭，大家在点菜时意见不合，我想吃辣的菜，但家人不喜欢辣，你觉得我应该怎么做？,I will directly express that I want spicy food and explain why., 我会直接表达我想吃辣的菜，并说明理由,I will compromise and choose a dish that everyone can accept., 我会妥协，选择大家都能接受的菜,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I am working in a company and notice a task I could do better, but a colleague has already taken over this task. What do you think I should do?",我在公司工作，发现有一项任务我可以做得更好，但同事已经接手了这个任务，你觉得我应该怎么做？,I will actively offer to help or take over and improve the task., 我会主动提出帮助他们，或者接手改进这项任务,I will not interfere and continue with my own work., 我会不去干涉，继续做自己的工作,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My friend and I are going to see a movie, and everyone is excited to watch an action film, but I want to watch a documentary. What do you think I should do?",我和朋友一起去看一场电影，大家都很期待看动作片，但我想看纪录片，你觉得我应该怎么做？,I will directly express my interest and suggest we watch a documentary., 我会直接表达我的兴趣，建议大家一起看纪录片,I will compromise and go along with the group to watch the action film., 我会妥协，随大流去看动作片,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My team and I are discussing a new project plan, and everyone has different opinions. However, my viewpoint is not getting enough attention. What do you think I should do?",我和团队正在讨论一个新的项目计划，大家有不同的意见，但我的观点没有得到足够的重视，你觉得我应该怎么做？,I will raise my opinion again and explain why it is important., 我会再次明确提出自己的观点，并说明为什么重要,I will accept the decision of others and not express my opinion again., 我会接受其他人的决定，不再表达自己的想法,A,0,1,0,0,0,0,0,0,0
China,Chinese,"In a social setting, the atmosphere is a bit dull, and no one is talking much. What do you think I should do?",在一个社交场合中，气氛有些沉闷，大家都不太说话，你觉得我应该怎么做？,I will actively chat with others and try to break the silence., 我会主动和别人聊天，尝试打破沉默,I will remain quiet and wait for others to start the conversation., 我会保持安静，等待别人主动开口,A,0,1,0,0,0,0,0,0,0
China,Chinese,"My colleague and I are discussing how to handle a customer complaint, and we have different opinions. What do you think I should do?",我和我的同事在讨论如何处理一个客户投诉时，大家有不同的意见，你觉得我应该怎么做？,I will clearly express my opinion on how to handle it and explain why., 我会明确表达我的处理意见，并解释理由,"I will wait for others to decide, avoiding conflict with them.", 我会等待大家的决定，避免与他人意见冲突,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I'm discussing a new business idea with a friend, and I have some differing opinions, but I don't want to upset him. What do you think I should do?",我和朋友讨论一个新创业项目的想法，我有一些不同的意见，但不想让他不开心，你觉得我应该怎么做？,I will directly express my differing opinion and discuss it with him., 我会直接表达我的不同意见，和他讨论,I will keep my thoughts to myself to avoid starting an argument., 我会不提我的想法，避免引发争执,A,0,1,0,0,0,0,0,0,0
China,Chinese,"At a gathering, I meet a stranger who asks me for my opinion on a topic. I have my own view. What do you think I should do?",今天在一次聚会中，我遇到一个陌生人，他问我关于某个话题的看法，我有自己的观点，你觉得我应该怎么做？,I will clearly express my opinion and explain why., 我会清楚地表达我的观点，并解释理由,I will give a brief answer and avoid discussing it further., 我会简单回答，不深入讨论,A,0,1,0,0,0,0,0,0,0
China,Chinese,"Today, my friend Tom and I are out, and Tom suggests buying expensive brand clothes, but I feel they are not worth the price. What should I do?",今天我在和朋友一起去购物，Tom提议我们去买一些昂贵的品牌衣服，但我觉得有些不值这个价钱。你觉得我应该怎么做？,I would directly tell Tom I don't want to spend that much money and suggest going somewhere else.,我会直接告诉Tom我不想花这么多钱，提议去看其他地方,I would silently agree and follow his decision.,我会默默同意，跟随他的决定,A,0,1,0,0,0,0,0,0,0
China,Chinese,"During the company year-end meeting, while discussing our individual performances, if I find myself being ignored, but I believe I performed better and didn't have a chance to speak, what should I do?",在公司年终总结会上，大家在讨论各自的业绩时，如果你发现自己被忽视了，认为自己有更好的表现，但没有机会发言，你会怎么做？,I would directly express my achievements and contributions to the leader and colleagues.,我会直接向领导和同事表达我的成绩和贡献,I would silently accept it and wait for others to notice.,我会默默接受，等待别人注意到,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When discussing project progress with my boss, if they propose a solution I find unreasonable, what should I do?",在和领导讨论项目进展时，如果领导提出了一个我觉得不太合理的解决方案，我应该怎么做？,I would directly express my disagreement and propose a solution that I believe is more reasonable.,我会直接表达我的不同意见，并提出我认为更合理的方案,"I would remain silent, not share my opinion, and try to follow the leader.",我会沉默，不提我的看法，尽量顺从领导,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When traveling with friends, if someone suddenly suggests going to a place I don't want to visit, what should I do?",和朋友一起外出旅游，大家在选择路线时，突然有人建议去一个我并不想去的地方，你会怎么做？,I would clearly express that I don't want to go there and suggest other options.,我会明确表达我不想去的地方，并提议其他选项,I would agree with everyone’s choice to avoid conflict.,我会同意大家的选择，避免争执,A,0,1,0,0,0,0,0,0,0
China,Chinese,"If I am cooking at home and my family asks me to make a dish no one likes, what should I do?",如果你在家里做饭，家人要求你做一顿大家都不喜欢的菜，你会怎么做？,I would tell my family I don't want to make that dish and suggest making something everyone likes.,我会告诉家人我不想做这道菜，提议做一些大家更喜欢的菜,I would silently make the dish without voicing any objections.,我会默默做这道菜，不提出反对意见,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When discussing details of a new project with colleagues, if I have a different suggestion but am afraid of disrupting team harmony, what should I do?",和同事一起讨论新项目的细节时，如果我有不同的建议，但担心打破团队的和谐，我会怎么做？,I would directly express my suggestion and try to persuade the team.,我会直接表达我的建议，尽力说服团队,I would remain silent to avoid conflicts with the team.,我会保持沉默，避免与团队产生分歧,A,0,1,0,0,0,0,0,0,0
China,Chinese,"At home, if my father insists on something he believes is correct but I feel his opinion is flawed, what should I do?",在家里，爸爸总是坚持他认为对的事情，但我觉得他的意见有问题，我会怎么做？,I would offer a different perspective and patiently explain my point of view.,我会提出不同的看法，并耐心解释我的观点,I would stay silent to avoid conflict with him.,我会不说话，避免与他发生争执,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When I see that a friend’s decision might lead to negative consequences for them, what should I do?",当你发现朋友的决策可能会对他们造成不好的后果时，你会怎么做？,I would directly express my concerns and offer my own advice.,我会直接告诉他们我的担忧，并提出自己的建议,I would remain silent and not interfere with their decision.,我会保持沉默，不干涉他们的决定,A,0,1,0,0,0,0,0,0,0
China,Chinese,"At a party, if most people are talking about a topic and I find it boring, what should I do?",在聚会中，如果大部分人都在谈论某个话题，我觉得无聊时，我会怎么办？,I would actively change the topic and talk about something I am interested in.,我会主动改变话题，谈论一些我感兴趣的内容,I would quietly listen to the conversation and not share my own interests.,我会安静听大家谈话，不提自己的兴趣,A,0,1,0,0,0,0,0,0,0
China,Chinese,"If I feel uncomfortable in a social situation where everyone is chatting and laughing but I don't want to join, what should I do?",如果我在某个社交场合中感到不自在，大家都在说笑，但我不太想参与，你会怎么做？,I would directly tell everyone I don't want to join and suggest something else to do.,我会直接告诉大家我不想加入，提出自己想做的事情,I would stay silent and wait for everyone to adjust the atmosphere.,我会保持沉默，等待大家自己调整气氛,A,0,1,0,0,0,0,0,0,0
China,Chinese,"During a company training, the instructor explained a concept that I already know. What do you think I should do?",在公司培训中，讲师讲解了一个我已经掌握的概念，你觉得我应该怎么做？,I will raise my hand to actively share my understanding and help others.,我会举手主动分享自己的理解，帮助其他人,I will remain silent and not interrupt the instructor.,我会保持沉默，不打断讲师,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When going on a trip with friends, everyone decided to go to the beach, but I don’t really enjoy beach activities. What do you think I should do?",和朋友一起出门旅游，大家都决定去海滩，但我不太喜欢沙滩活动，你觉得我应该怎么做？,"I will suggest doing other activities, such as going to an amusement park or museum.",我会提议做其他活动，例如去游乐园或博物馆,I will follow everyone’s choice and silently accept it.,我会跟随大家的选择，默默接受,A,0,1,0,0,0,0,0,0,0
China,Chinese,"During a company meeting, everyone is discussing a new project, and I think the project’s budget is unreasonable. What do you think I should do?",在公司会议上，大家讨论一个新的项目，我认为这个项目的预算不合理，你觉得我应该怎么做？,I will express my views directly and suggest adjusting the budget.,我会直接表达我的观点，并建议调整预算,I will remain silent to avoid disagreements with others.,我会保持沉默，避免和大家产生分歧,A,0,1,0,0,0,0,0,0,0
China,Chinese,"I’m discussing holiday arrangements with my siblings, and everyone suggests going to a place that no one really likes. What do you think I should do?",我和我的兄弟姐妹讨论家里的节假日安排，大家都提议去一个大家都不喜欢的地方，你觉得我应该怎么做？,I will propose going to a place everyone likes and coordinate actively.,我会提议去一个大家都喜欢的地方，并主动协调,I will default to everyone’s choice to avoid creating conflict.,我会默认大家的选择，避免制造冲突,A,0,1,0,0,0,0,0,0,0
China,Chinese,"At work, I notice a colleague made an error during collaboration, which has affected the progress. What would you do?",在工作中，发现一个同事在合作中出现了错误，影响了进度，你会怎么做？,I will point out the issue to him in time and help him solve it.,我会及时告诉他问题所在，并帮助他解决,I will silently endure and continue with my own part.,我会默默忍受，继续做自己的部分,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When I go shopping with my friends and see them buying things that are impractical and expensive, what should I do?",当我和朋友一起去购物，看到他们购买了一些不实用且价格昂贵的东西，我会怎么办？,I will suggest they not buy these things and propose more practical choices.,我会建议他们不要买这些东西，提出更实用的选择,I will choose to remain silent and let them decide for themselves.,我会选择保持沉默，让他们自己决定,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When having lunch with colleagues, everyone is discussing whether to choose a healthy meal, and others prefer high-calorie foods. What would you do?",当你和同事一起共进午餐时，大家在讨论是否选择健康的餐点，其他人更倾向于选择高热量的食物，你会怎么做？,I will insist on choosing healthy meals and encourage everyone to make healthier choices together.,我会坚持选择健康的餐点，并鼓励大家一起做出更健康的选择,I will go with the flow and eat what others ordered.,我会随波逐流，吃其他人点的食物,A,0,1,0,0,0,0,0,0,0
China,Chinese,"At a small gathering with friends, everyone is talking about a movie I’m not interested in. What would you do?",和朋友一起参加一个小型聚会，大家都在讨论一部我不感兴趣的电影，你会怎么做？,I will propose discussing something I'm interested in or change the topic.,我会提议讨论我感兴趣的事情，或者改变话题,I will continue to listen and wait for the topic to change naturally.,我会继续倾听，等待话题自然转变,A,0,1,0,0,0,0,0,0,0
China,Chinese,"If I find that my roommate is not following the cleaning rules in the shared space, what would you do?",如果你发现你的室友在共享的空间里做得不符合清洁规定，你会怎么办？,I will directly tell him the importance of maintaining cleanliness and help clean together.,我会直接告诉他保持清洁的重要性，并与他一起整理,I will remain silent and quietly clean up.,我会保持沉默，自己默默打扫,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When I meet someone I don’t like at a party, and everyone is talking about them, what would you do?",当你在聚会上遇到一个不喜欢的人，大家都在聊他的事情，你会怎么做？,I will express my dislike for him and provide reasons.,我会表达我不喜欢他，并提出理由,I will remain silent to avoid making the atmosphere awkward.,我会沉默，避免让气氛尴尬,A,0,1,0,0,0,0,0,0,0
China,Chinese,"During a company discussion about promotion opportunities, I believe I deserve a promotion, but the leader seems to favor someone else. What would you do?",在公司讨论升职机会时，你认为自己有资格获得提升，但发现领导更倾向于另一个人，你会怎么做？,I will express my interest in promotion to my leader and discuss my contributions.,我会向领导表明我对晋升的兴趣，并谈论我的贡献,I will accept the situation and not express my thoughts proactively.,我会接受现状，不主动表达我的想法,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When planning a trip with friends, everyone decides to go somewhere far away, but I feel the budget is a bit high. What would you do?",和朋友一起计划旅行，大家都决定去一个很远的地方，但我觉得预算有些高，你会怎么办？,I will propose a more economical solution or consider a different destination.,我会提议更经济的方案，或者考虑不同的目的地,I will silently agree and avoid raising objections.,我会默默同意，避免提出异议,A,0,1,0,0,0,0,0,0,0
China,Chinese,"If I get interrupted by an impolite person during a gathering, what would you do?",如果你在一个聚会中被不礼貌的人打断，你会怎么做？,I will directly tell him that interrupting others is impolite.,我会直接告诉他打断别人说话是不礼貌的,I will swallow my frustration and continue discussing my own topic.,我会忍气吞声，继续谈自己的话题,A,0,1,0,0,0,0,0,0,0
China,Chinese,"At work, I’m dissatisfied with the attitude of a team member, and it’s affecting the project’s progress. What would you do?",在工作中，你对某个团队成员的工作态度不满，影响到项目进展，你会怎么办？,"I will communicate directly with him, express my concerns, and suggest improvements.",我会直接和他沟通，表达我的担忧并提出改进建议,I will silently bear the responsibility without directly pointing out the issue.,我会默默承担，不直接指出问题,A,0,1,0,0,0,0,0,0,0
China,Chinese,"When my boss asks me to do something I believe is inappropriate, what would you do?",当你的老板要求你做一件你认为不合适的事情时，你会怎么做？,I will explain my reasons to my boss and express my unwillingness to perform this task.,我会向老板解释我的理由，表达我不愿意执行这个任务,I will submissively accept the task and avoid rejecting it.,我会顺从地接受任务，避免拒绝,A,0,1,0,0,0,0,0,0,0
China,Chinese,"If I’m discussing a sensitive topic with friends, and everyone holds different views, what would you do?",如果你和朋友在一起讨论某个敏感话题，大家都持有不同观点，你会怎么做？,I will express my different opinions directly and respect theirs.,我会直接表达我的不同观点，并尊重他们的意见,I will avoid arguments and choose not to express my opinion.,我会避免争论，选择不发表看法,A,0,1,0,0,0,0,0,0,0
China,Chinese,"During a family gathering, when everyone discusses whether to improve certain arrangements at home, and I feel some things should be changed, what would you do?",在家庭聚会中，当大家讨论是否应该改进家里的一些安排时，你觉得某些地方应该改变，你会怎么做？,I will propose specific suggestions and push everyone to accept the change.,我会提出具体的建议，并推动大家接受变动,I will remain silent and not disrupt the existing arrangement.,我会保持沉默，不打破现有的安排,A,0,1,0,0,0,0,0,0,0
China,Chinese,"If I attend an event with friends, but I don’t like it or feel uncomfortable, what should I do?",如果你和朋友一起参加一个活动，但你觉得不喜欢或不舒服，你会怎么办？,I will tell them I don't like this activity and propose a better option for everyone.,我会告诉他们我不喜欢这个活动，并提出更适合大家的建议,"I will continue to participate even if I don't like it, without expressing dissatisfaction.",我会继续参加，即使我不喜欢，也不表达不满,A,0,1,0,0,0,0,0,0,0
China,Chinese,"In a team project, if the leader sets an unreasonable deadline and I know it’s impossible to complete, what would you do?",在一个团队项目中，领导要求一个不合理的截止日期，而你知道这根本无法完成，你会怎么办？,I will directly explain the actual situation to the leader and request a reasonable delay.,我会直接向领导说明实际情况，并请求合理的延迟,I will silently accept and try my best to complete the task.,我会默默接受，并尽力完成任务,A,0,1,0,0,0,0,0,0,0
China,Chinese,"If I don’t get the opportunity to speak during a scheduled meeting, what would you do?",如果你在约定的会议时间内没有得到应有的发言机会，你会怎么做？,I will actively ask for the floor and express my views.,我会主动要求发言，表达我的观点,I will wait until the meeting ends and not speak proactively.,我会等会议结束，不主动发言,A,0,1,0,0,0,0,0,0,0
China,Chinese,"Today, I went shopping with a friend. We passed by a store, and my friend wanted to go inside to look at clothes, but I actually wanted to go have coffee. Would I proactively suggest my idea?",今天，我和朋友一起逛街，我们经过了一家商店，朋友想进去看衣服，但我其实更想去喝咖啡。我会主动提出我的建议吗？,"I would quietly accompany my friend into the store, even though I don’t like it, because I don’t want to break the mood.",我会默默陪着朋友进商店，虽然不喜欢，但不想打破气氛。,I will directly tell my friend that I prefer to go have coffee and suggest that we can come to the store later.,我会直接告诉朋友我更想去喝咖啡，并提出我们可以之后再来商店。,B,0,,0,0,0,0,0,0,0
